Fragment,Count
[13*]C1(O)OC2(N=NN2N=O)O1,2
[13*]C1(N)OC2(N=NN2N=O)O1,2
[5*]NC(=N)ON=NN=N,2
[5*]N(C(=N)N)C(O)(O)O,2
[1*]C(=O)N=C(O)N=NON=N,2
[5*]NC(=N)N=NON=N,2
[5*]NC(O)=NN=NN=N,2
[13*]C1(N=C(O)O)N=NN1N=O,2
[13*]C1(N)ON=NN=NC(=O)O1,2
[13*]C1(O)OC2(O)N=NN=NN12,2
[5*]NC(N)(O)N=C(O)O,2
[5*]NC(N)(O)N[5*],2
[13*]C1(N)N=NN=NOC(=O)O1,2
[5*]NC(N)(O)OC(=N)O,2
[13*]C1(N)N=NON=NC(=O)O1,2
[13*]C1(O)N=NN2N=NC2(O)O1,2
[13*]C1(O)ON(O)N1N=NC#N,2
[13*]C1(O)OC(=O)N1N=NN=N,2
[13*]C12N=NN1N=NC(O)(O)O2,2
[3*]OC(N)(N)N=C(O)O,2
[3*]OC(N)(N)OC(=N)O,2
[13*]C1(O)N=C(O)N1N=NN=O,2
[13*]C12N=NN(N=N)C(O)(O1)O2,2
[13*]C12N=NN(N=O)C(O)(N1)O2,2
[13*]C1(O)OC2(O)N=NN1N=N2,2
[13*]C12N=NN(N=O)C(N)(O1)O2,2
[13*]C12N=NN(N=O)C(O)(O1)O2,2
[13*]C1(O)ON(N=C=NN=N)O1,2
[13*]C1(O)NN(N=C=NN=O)O1,2
[13*]C1(O)ON(N=C=NN=O)O1,2
[13*]C1(O)NC(=O)N1N=NN=O,2
[13*]C1(N)NC([13*])(O)N1,2
[13*]C1(O)ON=NN=NC(=N)O1,2
[13*]C1(O)N=NN=NOC(=N)O1,2
[3*]OC(N)(N)N(C#N)N=O,2
[5*]NC(N)(O)N(C#N)N=O,2
[13*]C1(O)N=C(N=NN=NO)O1,2
[13*]C1(O)ON=NN=NC(=O)O1,2
[3*]OC(N)(O)N(C#N)N=N,2
[5*]N1C(N)(O)OC1(N)O,2
[5*]N1C(N)(N)OC1(O)O,2
[5*]N1C(N)(O)NC1(O)O,2
[8*]C(O)(O)OC#N,2
[9*]n1nnn1OC(N)(O)O,2
[13*]C1(N)OC(=NN=NN=O)O1,2
[9*]n1nnn1NC(O)(O)O,2
[13*]C1(O)N=NN=NOC(=O)O1,2
[1*]C(=O)NN(O)N=C=NN=O,2
[13*]C1(O)N=NON=NC(=O)O1,2
[13*]C1(N=C(O)O)N=NN=NO1,2
[13*]C1(N=C(O)O)N=NON=N1,2
[13*]C1(N)N=C(N=NON=O)O1,2
[3*]OC(N)(O)N=C(N)O,2
[3*]OC(N)(O)NC(=N)O,2
[3*]OC(N)(O)OC(=N)N,2
[5*]NC(O)(O)N(C#N)N=N,2
