Fragment,Count
[5*]NC(N)(N)OC#N,2
[3*]On1oc(=NC(N)=O)o1,2
[3*]OC(O)(O)ONN,2
[9*]n1c(=O)on1N,2
[4*]C(O)(O)C=NO,2
[3*]ON(O)N=C(N)O,2
[3*]OC(N)(N)O[3*],2
[13*]C1([13*])N=NN1,2
[4*]C([4*])([4*])C#N,2
[3*]OC(N)(O)N=C=O,2
[4*]C(C)(O)O,2
[13*]C1(N=O)N=NN(O)O1,2
[5*]NC(O)(O)N=NN=O,2
[4*]C(O)(C#N)N=O,2
[13*]C1([13*])NN(N=O)O1,2
[13*]C1(O)NC([13*])(N=O)O1,2
[13*]C1(O)NC([13*])(N=N)N1,2
[13*]C1(N=NO)OC(=O)O1,2
[13*]C1(O)ON(C#N)O1,2
[13*]C1(O)ON=NO1,2
[13*]C1(O)NC(=NN(O)O)O1,2
[13*]C1([13*])NN1N=O,2
[13*]C1(O)OC(O)(N=O)O1,2
[13*]C1(N=NN=O)OC(N)(O)O1,2
[8*]CN(O)N=O,2
[5*]NC(O)(O)NN(O)C#N,2
[13*]C1(N=NC(=O)O)N=N1,2
[3*]OON(O)O,2
[13*]C1(N)ON(O)ON(O)O1,2
[3*]OC(=NN=N)N[5*],2
[13*]C12NC(O)(N1)O2,2
[3*]ONN(N)O,2
[13*]C1(N)OC(N=O)(NN=O)O1,2
[13*]C12NN(O)N1N(O)O2,2
[3*]ON1NN(N=C(O)O)N1,2
[3*]OC(O)(N=O)N=O,2
[13*]C12NN(O)ON(O1)O2,2
[13*]C1([13*])ON(N=N)O1,2
[13*]C12ON3ON(O1)N32,2
[3*]ON1OC([13*])(N)O1,2
[13*]C1(O)NO1,2
[5*]N([5*])[5*],2
[6*]C(=O)N(O)N=O,2
[13*]C1(O)N=NOC(O)=N1,2
[6*]C(=O)N(N)NN=O,2
[3*]ON(N=N)C(O)(O)N=O,2
[8*]C(N)(O)OC(=N)O,2
[1*]C(=O)N=NC(N)(N)O,2
[13*]C1(O)NC(O)(N=O)N1,2
[3*]OC(=N)ON=N,2
[3*]ONN(O)O,2
[3*]OC(O)(N=N)ON=O,2
[3*]OON(O)N=O,2
[13*]C12NC(N)(O)N1N(O)O2,2
[13*]C1(O)OC(N)(N=N)O1,2
[3*]OC(O)(N=O)NN=N,2
[13*]C1([13*])NC(O)(O)N1,2
[1*]C(=O)C=O,2
[5*]NC(N)(O)N=NO,2
[13*]C1(N)N2N3OC2(O)N31,2
[13*]C1(N=NO)OC(O)(O)O1,2
[5*]N([5*])C(O)(O)N=O,2
[13*]C1(N)OC(O)(C#N)O1,2
[4*]C(O)(C#N)N=NO,2
[13*]C1(O)NOO1,2
[3*]ON(O)NC(=O)N=N,2
[5*]NC(O)(O)N(O)O,2
[3*]ON1OC(O)(O)O1,2
[5*]N1C2(O)NN(O)OC1(O)O2,2
[3*]OC(O)(N=O)NN=O,2
[8*]CC(O)(O)N=O,2
[3*]OC(N=N)N=O,2
[13*]C1(O)OC(O)(O)N1N=N,2
[13*]C1(O)OC(O)(N=N)O1,2
[13*]C1(N=O)NC(O)(O)N1,2
[3*]OC(=N)N=NOO,2
[9*]n1c([14*])nn1O,2
[4*]C([4*])(N)C(N)(O)N=O,2
[5*]N1C(O)=NC1(O)O,2
[13*]C1(N)OC(=O)N1N=O,2
[3*]ON=NC(=N)O,2
[3*]ONC(=O)N=O,2
[3*]ON(N=O)N=C=O,2
[13*]C1(O)OC2(NN(N)N2)O1,2
[3*]ONN=C(O)N=N,2
[13*]C1(O)ON=NC(N)(O)O1,2
[4*]C(O)(O)C=N,2
[13*]C1([13*])NC(N)(N=O)N1,2
[4*]C1([13*])NC(O)(N=N)O1,2
[6*]C(=O)N(N)O,2
[3*]ON=NN(O)N=O,2
[3*]ON(O)NC#N,2
[10*]N1C(=O)OC1(N)N,2
[13*]C1(O)OC(N)(N)O1,2
[3*]ON(N=O)N=NO,2
[13*]C1([13*])N2N3OC2(O)N31,2
[10*]N1C(=O)OC1(O)O,2
[3*]ON(O)OC#N,2
[3*]ON1OC(N)(O)O1,2
[13*]C1([13*])N=C(N)O1,2
[13*]C1(O)NC(=N)N1,2
[3*]OON(N)N=N,2
[13*]C1(O)N=NONC(O)(O)N=N1,2
[5*]NC(=N)OC(O)(O)O,2
[1*]C(=O)NN=NN=O,2
[13*]C1(N)N=NC(O)(O)O1,2
[3*]OC(N)(O)OC#N,2
[3*]OC(O)(O)NO,2
[3*]OC(O)(O)NN,2
[4*]C([8*])(O)N=O,2
[13*]C1(O)ON1O,2
[3*]ON=C,2
[3*]ON(O)N=NN,2
[13*]C1(O)N=NC(C)(O)O1,2
[1*]C(=O)N(O)C(=O)O,2
[13*]C1([13*])NN(N)O1,2
[13*]C1(O)ON(O)NC2(N=NO2)O1,2
[3*]OC(N)(O)NO,2
[3*]ON(N=N)N=O,2
[3*]OC(O)(O)N=C,2
[13*]C1(N)OC(=N)O1,2
[13*]C1(N)NN2NC([13*])(O2)O1,2
[3*]ON=NC(N)(N)N=O,2
[3*]ON(NC(N)=O)O[3*],2
[4*]C(N)(O)C(=O)O,2
[13*]C1([13*])OC2(ON(N)O2)O1,2
[13*]C1(O)OC(N=N)(NN(N)O)O1,1
[13*]C1(O)OC(C#N)(NN(N)N)O1,1
N=NC1(N=NNOC(O)(O)O)NC(=O)O1,1
[5*]NC(O)(NN=C=O)NN(O)O,1
[13*]C1(N=N)N=NON1,1
[13*]C1(N=O)N=NON1,1
[4*]C1(C=O)OC(O)(N=NN=O)O1,1
[1*]C(=O)N(ON=N)C(O)(O)N=N,1
[13*]C1(C=O)OC(O)(N=NN=O)O1,1
[13*]C1(N=O)NC(O)(NNC#N)O1,1
[13*]C1(O)NC([13*])(N=N)O1,1
[3*]OC(O)(N=CN=O)NN(O)N=O,1
N#CN(N)OC(O)(ONN=O)OC(=N)O,1
[1*]C(=O)N(N=C=O)C(N)(O)N=N,1
[13*]C1(N=C(O)O)N=N1,1
[3*]OC(O)(N=NNO)O[3*],1
[3*]OC(O)(O)N=NNO,1
[5*]NC(O)(O)ON=NO,1
NON=NC(O)(N=C(O)O)N=C(O)N=O,1
[5*]NC(O)(N[5*])ON=NN,1
[3*]OC(O)(NC(=N)O)ON=NN,1
[3*]OC(N)(O)ONN=O,1
[3*]OC(O)(N=NN=O)OC(=N)NO,1
N#CON=C(O)N(N(O)O)C(N)(O)N=O,1
[5*]NC(O)(NC(=N)O)ON=NO,1
[3*]OC(N)(N=NN=O)ON(O)C=N,1
N=C(O)N(C(=N)N=NN=O)C(O)(O)OO,1
[13*]C1(C#N)ON=NOC(N)(O)O1,1
[4*]C1(C#N)ON=NOC(N)(O)O1,1
N#CC(O)(O)N(ON=O)N(N)N=C(O)O,1
NC(N=O)=NC(N)(N=C(O)O)OON=O,1
[13*]C1([13*])N=NN=NC(O)(O)N1,1
O=NC1(NN=NOC(O)(O)O)NC(=O)N1,1
N#CN=NC(O)(N=C(O)OO)ON(N)O,1
[3*]ON(O)N(N=C=N)C(O)(O)N=O,1
[4*]C(C)(N=NN=O)N=C(O)N=O,1
NC(O)(N=O)N(N=C=O)C(=O)NN(O)O,1
N=NC1(NNN=NC(O)(O)O)OC(=O)O1,1
[5*]NC(O)(N[5*])OON=N,1
O=NN=CC(O)(N=NC(=O)O)NN(O)O,1
[13*]C1(N=N)ON=NO1,1
N=NN=NC(O)(O)N=C=C(O)ON(O)O,1
[3*]OC(O)(N=NN(O)O)NN=C=N,1
[13*]C1(N=O)NC(O)(O)N1N=C=O,1
