SMILES,MW,HBA,HBD,LogP,Valid,Error,Fragments
O=NN(C(O)=N)C(=NN=N)OC(O)(O)O,222.034881912,9,6,-1.6306600000000002,True,False,['N=NN=C(OC(O)(O)O)N(N=O)C(=N)O']
N=NN(C(=O)O)N(OC#N)NC(O)(O)O,222.034881912,10,6,-2.36515,True,False,['N#CON(NC(O)(O)O)N(N=N)C(=O)O']
O=C=NC(=N)N(N=NN(O)O)C(O)(O)O,222.034881912,9,6,-2.4902300000000004,True,False,['N=C(N=C=O)N(N=NN(O)O)C(O)(O)O']
OC(O)=NN=NC(=N)ON=NC(O)(O)O,222.034881912,8,6,-1.2676299999999998,True,False,['N=C(N=NN=C(O)O)ON=NC(O)(O)O']
NC(=N)ON=NC(=O)N=NOC(O)(O)O,222.034881912,9,5,-1.64433,True,False,['N=C(N)ON=NC(=O)N=NOC(O)(O)O']
ON(O)N=C=NN(O)N=C=NC(O)(O)O,222.034881912,12,6,-2.561,False,False,['ON(O)N=C=NN(O)N=C=NC(O)(O)O']
O=NOC(=O)ON=NC(=N)OC(N)(O)N,222.034881912,11,4,-1.3394300000000006,True,False,"['[1*]C([1*])=O', '[3*]ON=NC(=N)OC(N)(N)O', '[3*]ON=O']"
O=NNC(=N)ON=NC(=O)OC(N)(O)O,222.034881912,10,5,-1.73283,True,False,"['[1*]C(=O)N=NOC(=N)NN=O', '[3*]OC(N)(O)O']"
O=NN=C(O)N=NOC(N)=NC(O)(O)O,222.034881912,8,5,-2.1315,True,False,['NC(=NC(O)(O)O)ON=NC(O)=NN=O']
N=NNC(=O)N=NOC(O)=NC(O)(O)O,222.034881912,9,6,-1.4720300000000002,True,False,['N=NNC(=O)N=NOC(O)=NC(O)(O)O']
O=NN=C(O)N=NNC(O)=NC(O)(O)O,222.034881912,7,6,-1.9592,True,False,['O=NN=C(O)N=NNC(O)=NC(O)(O)O']
N#CNN(O)ON=NC(=O)NC(O)(O)O,222.034881912,10,6,-2.74012,True,False,"['[5*]NC(O)(O)O', '[1*]C(=O)N=NON(O)NC#N']"
N=NON(O)N=C=NC(=N)OC(O)(O)O,222.034881912,11,6,-1.81636,False,False,['N=NON(O)N=C=NC(=N)OC(O)(O)O']
O=NOC(N=NOC(=O)N)=NC(N)(O)O,222.034881912,10,4,-1.9425,True,False,"['[1*]C(N)=O', '[3*]ON=NC(=NC(N)(O)O)ON=O']"
ON=NC(ON=NC(O)=N)=NC(O)(O)O,222.034881912,8,6,-1.35143,True,False,['N=C(O)N=NOC(N=NO)=NC(O)(O)O']
