SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,chemval,chem_violation
OOCC(=C)OC,104.047344116,3,1,0.6360999999999999,True,False,False,Enol
OOC=C(C)OC,104.047344116,3,1,0.9837,True,False,False,Enol
OOOC(=C)CC,104.04734411599999,3,1,1.3313,True,False,False,Enol
OOOC(C)=CC,104.04734411599999,3,1,1.3313,True,False,False,Enol
OOOC(C)C=C,104.04734411599999,3,1,0.9821,True,False,True,
COCC(=O)OC,104.047344116,3,0,-0.19419999999999993,True,False,True,
COC=C(O)OC,104.047344116,3,1,0.6360999999999999,True,False,False,"Geminal diol/triol, Enol"
COOC(=O)CC,104.04734411599999,3,0,0.5009999999999999,True,False,True,
COOC(O)=CC,104.04734411599999,3,1,0.9837,True,False,False,"Geminal diol/triol, Enol"
COOC(O)C=C,104.04734411599999,3,1,0.06880000000000003,True,False,False,Geminal diol/triol
OOCC(=O)CC,104.04734411599999,3,1,0.4551,True,False,True,
OOC=C(O)CC,104.04734411599999,3,2,1.2853999999999999,True,False,False,Enol
OOCC(O)=CC,104.04734411599999,3,2,0.9378,True,False,False,Enol
OOCC(O)C=C,104.04734411599999,3,2,0.02289999999999992,True,False,True,
COCC(=C)OO,104.047344116,3,1,0.6361000000000001,True,False,False,Enol
COC=C(C)OO,104.047344116,3,1,0.9837,True,False,False,Enol
COOC(=C)CO,104.047344116,3,1,0.07039999999999996,True,False,False,Enol
COOC(C)=CO,104.047344116,3,1,0.9837,True,False,False,Enol
COOC(C)C=O,104.047344116,3,0,0.15179999999999993,True,False,True,
OOCC(=C)CO,104.047344116,3,2,0.024499999999999966,True,False,True,
OOC=C(C)CO,104.047344116,3,2,0.37209999999999993,True,False,False,Enol
OOCC(C)=CO,104.047344116,3,2,0.9378,True,False,False,Enol
OOCC(C)C=O,104.047344116,3,1,0.31099999999999994,True,False,True,
COCC(=O)CO,104.047344116,3,1,-0.8057999999999998,True,False,True,
COC=C(O)CO,104.047344116,3,2,0.024499999999999966,True,False,False,Enol
COCC(O)=CO,104.047344116,3,2,0.5902000000000001,True,False,False,Enol
COCC(O)C=O,104.047344116,3,1,-0.8074000000000001,True,False,True,
OC(O)=C(C)OC,104.047344116,3,2,0.9378,True,False,False,"Geminal diol/triol, Enol"
OC(O)C(=C)OC,104.047344116,3,2,-0.5428000000000002,True,False,False,"Geminal diol/triol, Enol"
OC(=O)C(C)OC,104.047344116,2,1,0.1059000000000001,True,False,True,
CC(O)=C(O)OC,104.047344116,3,2,0.9378,True,False,False,"Geminal diol/triol, Enol"
