SMILES,MW,HBA,HBD,LogP,lipinski_valid,Error,Fragments
CC1C(OO)(O)C1,104.047344116,3,2,0.2044,True,False,"['[3*]OO', '[15*]C1(O)CC1C']"
CC1C(CO)(O)O1,104.047344116,3,2,-0.914,True,False,"['[13*]C1(O)OC1C', '[8*]CO']"
OC1C(CO)(O)C1,104.047344116,3,3,-1.5256,True,False,"['[15*]C1(O)CC1O', '[8*]CO']"
OC(O)C1(O)CC1,104.047344116,3,3,-1.1780000000000004,True,False,"['[8*]C(O)O', '[15*]C1(O)CC1']"
CC(O)C1(C)OO1,104.047344116,3,1,0.0451999999999999,True,False,"['[8*]C(C)O', '[13*]C1(C)OO1']"
OC(O)C1(C)OC1,104.047344116,3,2,-0.914,True,False,"['[8*]C(O)O', '[13*]C1(C)CO1']"
CC(C)C1(O)OO1,104.047344116,3,1,0.2503,True,False,"['[13*]C1(O)OO1', '[8*]C(C)C']"
CC(O)C1(O)OC1,104.047344116,3,2,-0.914,True,False,"['[8*]C(C)O', '[13*]C1(O)CO1']"
OC(C1CC1)(O)O,104.047344116,3,3,-0.9729,True,False,"['[8*]C(O)(O)O', '[15*]C1CC1']"
CC(C1OC1)(O)O,104.047344116,3,2,-0.914,True,False,"['[8*]C(C)(O)O', '[13*]C1CO1']"
CC(C1OO1)(O)C,104.047344116,3,1,0.0451999999999999,True,False,"['[8*]C(C)(C)O', '[13*]C1OO1']"
OC1OC(O)CC1,104.047344116,3,2,-0.5664,True,False,['OC1CCC(O)O1']
CC1OC(C)OO1,104.047344116,3,0,0.6567999999999999,True,False,['CC1OOC(C)O1']
OC1OC(C)OC1,104.047344116,3,1,-0.3024,True,False,['CC1OCC(O)O1']
CC1CC(O)OO1,104.047344116,3,1,0.0451999999999999,True,False,['CC1CC(O)OO1']
CC1OC(O)OC1,104.047344116,3,1,-0.3024,True,False,['CC1COC(O)O1']
OC1CC(O)OC1,104.047344116,3,2,-0.914,True,False,['OC1COC(O)C1']
CC1OC(OC)O1,104.047344116,3,0,0.3091999999999999,True,False,"['[3*]OC', '[13*]C1OC(C)O1']"
OC1OC(OC)C1,104.047344116,3,1,-0.3024,True,False,"['[3*]OC', '[13*]C1CC(O)O1']"
OC1OC(CC)O1,104.047344116,3,1,0.0451999999999999,True,False,"['[13*]C1OC(O)O1', '[8*]CC']"
CC1OC(OO)C1,104.047344116,3,1,0.6109,True,False,"['[13*]C1CC(C)O1', '[3*]OO']"
CC1OC(CO)O1,104.047344116,3,1,-0.3024,True,False,"['[13*]C1OC(C)O1', '[8*]CO']"
