SMILES,MW,HBA,HBD,LogP,Valid,Error
O=NN=C(N)NC(N(N=O)C(=O)O)(O)O,222.034881912,7,5,-2.1706,True,False
N#CON(N)NC(N(N=O)C(=O)O)(O)O,222.034881912,10,5,-2.663319999999999,True,False
ON=NC(O)=NC(N(C#N)N(O)O)(O)O,222.034881912,9,6,-1.8838199999999996,True,False
N=C=NN(O)OC(N(C#N)N(O)O)(O)O,222.034881912,12,6,-2.34875,False,False
O=NOC(N)=NC(ON=NC(O)=N)(O)O,222.034881912,9,5,-1.5284299999999997,True,False
O=NN=C(O)OC(N=NNC(=O)N)(O)O,222.034881912,8,5,-1.7702,True,False
N=C=NC(=O)NC(N=NON(O)O)(O)O,222.034881912,10,6,-1.5762300000000002,True,False
ON=NC(=O)NC(OC(=O)NN=O)(O)N,222.034881912,8,5,-1.4927000000000001,True,False
ON=NC(O)=NC(OC(=O)NN=O)(O)N,222.034881912,8,5,-1.2883,True,False
O=NNC(O)=NC(OC(O)=NN=O)(O)N,222.034881912,8,5,-1.6542999999999997,True,False
O=NNC(=N)OC(N=C(O)ON=N)(O)O,222.034881912,10,6,-1.3187600000000002,True,False
N=NN=C(N)OC(N=C(O)ON=O)(O)O,222.034881912,9,5,-1.5284300000000002,True,False
N=NNC(=O)NC(NC(=O)ON=O)(O)O,222.034881912,9,6,-1.76493,True,False
O=NN=C(O)NC(OC(=O)N=NN)(O)O,222.034881912,7,5,-1.7702,True,False
O=NOC(=O)NC(NN(O)N=C=O)(O)N,222.034881912,11,5,-2.5970999999999997,True,False
O=NN=C(N)OC(ON(O)OC#N)(O)N,222.034881912,10,4,-2.40312,True,False
O=NNC(=O)OC(NN(N)N=C=O)(O)O,222.034881912,11,5,-3.0789999999999993,True,False
O=NNC(=O)OC(NN(O)N=C=N)(O)O,222.034881912,11,6,-2.14663,False,False
N#COC(N)=NC(ON(O)NN=O)(O)O,222.034881912,10,5,-2.7965199999999997,True,False
O=NNC(N=C(O)N1C(N=N1)(O)O)(O)O,222.034881912,9,6,-2.9539999999999997,True,False
NN=NC(OC1(O)N=NN1C(=O)O)(O)O,222.034881912,9,5,-2.1108000000000002,True,False
NC(=O)N1C(ON=NC(N=N1)(O)O)(O)O,222.034881912,10,5,-2.6765,True,False
N=NOC(N1C(=N)OC(N=N1)(O)O)(O)O,222.034881912,11,6,-2.22506,False,False
O=NN(C1=NC(N1)(O)O)C(N=NO)(O)O,222.034881912,10,6,-3.0378000000000003,True,False
N#CN(N1OC(O1)(O)O)C(NN=N)(O)O,222.034881912,11,6,-3.40935,False,False
N=NN(C(=O)O)C1(O)OC(ON=N1)(O)N,222.034881912,10,5,-1.50773,True,False
O=C1OC(ON=NC(N=NN1)(O)O)(O)N,222.034881912,11,5,-2.3646000000000003,True,False
N=C1OC(N=NNC(N=NO1)(O)O)(O)O,222.034881912,12,6,-2.51623,False,False
N=C1OC(N=NNC(ON=N1)(O)O)(O)O,222.034881912,11,6,-2.51623,False,False
O=NOC(NN=NC=1OC(N1)(O)O)(O)N,222.034881912,11,5,-2.8144000000000005,True,False
O=NNC(N=NN=C1OC(N1)(O)O)(O)O,222.034881912,9,6,-3.2078,True,False
N#CNC(ON=NN1OC(O1)(O)N)(O)O,222.034881912,11,5,-3.30712,True,False
N=NOC(N=NN1C(OC1=N)(O)O)(O)O,222.034881912,11,6,-2.22506,False,False
N=NN1C(NC1=NC(ON=O)(O)O)(O)O,222.03488191200003,10,6,-2.91663,True,False
O=NN1C(ON1OC(OC#N)(N)N)(O)O,222.034881912,11,4,-3.31412,True,False
O=NN1C(ON1OC(NC#N)(O)O)(O)N,222.034881912,11,5,-3.7075199999999997,True,False
O=NN1C(ON1NC(N=C=N)(O)O)(O)O,222.034881912,11,6,-3.41893,False,False
O=NN1C(OC1=O)(N)OC(ON=N)(O)N,222.034881912,11,4,-1.7685299999999997,True,False
O=NN1C(OC1=O)(N)NC(ON=N)(O)O,222.034881912,11,5,-2.16193,True,False
O=NOC(N1C(N=NNC1=O)(O)N)(O)O,222.034881912,10,5,-2.765,True,False
O=NOC(N=C1OC(N=NO1)(N)N)(O)O,222.034881912,12,4,-2.421,True,False
O=NNC(N=C1NC(ON=N1)(O)O)(O)O,222.034881912,9,6,-3.2078,True,False
O=NNC(OC1=NC(N=NN1)(O)O)(O)O,222.034881912,11,6,-3.2078,False,False
N#COC(NN1OC(N=NN1)(O)O)(O)O,222.034881912,12,6,-3.70052,False,False
